date,actual,seasonal_naive,sarima_plain,sarimax_temp,sarimax_ci_lower,sarimax_ci_upper
2019-09-29 00:00:00+00:00,54.82947619047619,56.12404166666666,56.74269753524161,55.82754567511791,53.52182555968805,58.133265790547775
2019-10-06 00:00:00+00:00,52.33063095238096,54.287059523809525,56.187437414310594,55.92970895832741,53.62398884188402,58.2354290747708
2019-10-13 00:00:00+00:00,55.80170833333334,56.33339880952381,58.889664076325346,57.99827716028837,55.58671511762576,60.40983920295098
2019-10-20 00:00:00+00:00,56.13279166666666,56.55730952380953,58.957383395146564,57.75210159344958,55.34053954912143,60.16366363777773
2019-10-27 00:00:00+00:00,56.484410714285715,57.687714285714286,59.24484613724036,57.85207419694432,55.44051215257647,60.26363624131218
2019-11-03 00:00:00+00:00,55.029630952380955,53.707708333333336,57.91265638471403,57.86290300460832,55.45134096021766,60.274465048998984
2019-11-10 00:00:00+00:00,58.15936309523809,59.21035714285715,61.748551343296995,60.97635637299813,58.564794328567764,63.3879184174285
2019-11-17 00:00:00+00:00,59.11223809523809,59.97938095238096,62.415443061587766,62.4022807502925,59.99071870583932,64.81384279474568
2019-11-24 00:00:00+00:00,59.73594047619047,60.69883333333333,62.80966628638894,61.64528593872023,59.233723894227346,64.05684798321312
2019-12-01 00:00:00+00:00,59.84283333333334,61.95860119047619,63.63941759718252,62.7882005543332,60.37663850981751,65.19976259884889
2019-12-08 00:00:00+00:00,61.05929761904762,63.12195833333334,64.03622480183934,63.77703038768034,61.365468343124945,66.18859243223574
2019-12-15 00:00:00+00:00,61.24219047619047,62.71340476190476,62.834878578255186,62.41475695207401,60.0031949074958,64.82631899665222
2019-12-22 00:00:00+00:00,56.83676785714285,57.949869047619046,56.90223823342645,56.310458472087674,53.89889643577044,58.72202050840491
2019-12-29 00:00:00+00:00,46.50530952380953,48.223803571428576,50.63102983706963,50.09214326895248,47.680581259554344,52.50370527835062
2020-01-05 00:00:00+00:00,50.161702380952384,54.85843452380953,59.591965278514515,58.59066796800448,56.22673567918157,60.95460025682739
2020-01-12 00:00:00+00:00,59.077595238095235,60.05204761904762,62.975832063700956,61.37901840234646,59.015086117874375,63.742950686818546
2020-01-19 00:00:00+00:00,60.36169642857143,61.868267857142854,64.14010866826814,61.73129704381088,59.367364759306106,64.09522932831565
2020-01-26 00:00:00+00:00,60.89373214285715,60.128232142857144,63.2827053538845,63.08275715141031,60.71882486688056,65.44668943594006
2020-02-02 00:00:00+00:00,60.83919642857143,60.81609523809524,63.13143599147824,61.473248678439944,59.109316393877506,63.83718096300238
2020-02-09 00:00:00+00:00,60.259839285714285,61.24415476190477,63.06742152335573,61.239015008522834,58.87508272393542,63.60294729311025
2020-02-16 00:00:00+00:00,60.845125,60.73777380952381,62.806674012311426,61.20678602987853,58.842853745258424,63.570718314498635
2020-02-23 00:00:00+00:00,59.787327380952384,60.69296428571428,62.59747507983954,60.93669966626677,58.57276738162169,63.30063195091185
